seed,measurement,value
1.0,Cost,0.39248314
1.0,Cost gap,0.3109227
1.0,Optimization time (s),51.71939257206395
1.0,Compilation time (s),62.84559585805982
1.0,STL Robustness,0.052187163
1.0,Total effort (N-s),9268.884
