gevd_dim_0,gevd
0,0.1771722137928009
1,0.18154124915599823
2,0.1745256632566452
3,0.18654021620750427
4,0.16944414377212524
5,0.18654121458530426
6,0.2014126479625702
7,0.18097926676273346
8,0.1860377937555313
9,0.17690758407115936
10,0.17132677137851715
11,0.18213260173797607
12,0.19254232943058014
13,0.17890332639217377
14,0.2065565437078476
15,0.16980192065238953
16,0.19637207686901093
17,0.17565365135669708
18,0.18629635870456696
19,0.1773308366537094
20,0.19876520335674286
21,0.17315594851970673
22,0.17616750299930573
23,0.17423534393310547
24,0.16454139351844788
25,0.17706796526908875
26,0.17912881076335907
27,0.18027496337890625
28,0.17691734433174133
29,0.1638231873512268
30,0.16895823180675507
31,0.1696670800447464
32,0.1716073453426361
33,0.16446223855018616
34,0.16373740136623383
35,0.16743162274360657
36,0.19551318883895874
37,0.1911677122116089
38,0.16473694145679474
39,0.17494140565395355
40,0.18032975494861603
41,0.1818166822195053
42,0.17406122386455536
43,0.18211966753005981
44,0.17060430347919464
45,0.17741303145885468
46,0.17015986144542694
47,0.19569461047649384
48,0.18654771149158478
49,0.1773689240217209
50,0.1815520077943802
51,0.19032034277915955
52,0.1753370314836502
53,0.17216837406158447
54,0.18779268860816956
55,0.16884401440620422
56,0.1806199550628662
57,0.16791848838329315
58,0.16838566958904266
59,0.17285464704036713
60,0.20160657167434692
61,0.19726696610450745
62,0.171979621052742
63,0.17225991189479828
64,0.17777015268802643
65,0.19472722709178925
66,0.17448626458644867
67,0.1850910782814026
68,0.16811124980449677
69,0.1661538928747177
70,0.16229815781116486
71,0.18939806520938873
72,0.1696561872959137
73,0.18077155947685242
74,0.18666836619377136
75,0.16441933810710907
76,0.19912089407444
77,0.19222389161586761
78,0.1721860021352768
79,0.18444715440273285
80,0.1902196705341339
81,0.16960622370243073
82,0.16981294751167297
83,0.18047761917114258
84,0.1798124760389328
85,0.17238421738147736
86,0.19710083305835724
87,0.1914169043302536
88,0.19244317710399628
89,0.17962388694286346
90,0.1864006519317627
91,0.17652733623981476
92,0.17168442904949188
93,0.19042634963989258
94,0.16874249279499054
95,0.1727999597787857
96,0.2194681018590927
97,0.18218816816806793
98,0.1714344024658203
99,0.18347692489624023
100,0.15958939492702484
101,0.1717490553855896
102,0.19169823825359344
103,0.18656140565872192
104,0.17828010022640228
105,0.17996250092983246
106,0.18815730512142181
107,0.17388704419136047
108,0.2151995748281479
109,0.16865822672843933
110,0.17461895942687988
111,0.17010332643985748
112,0.18920840322971344
113,0.17071878910064697
114,0.17220157384872437
115,0.19328126311302185
116,0.16768640279769897
117,0.18290385603904724
118,0.16730961203575134
119,0.1746402382850647
120,0.17884917557239532
121,0.1785043627023697
122,0.1749444603919983
123,0.17966119945049286
124,0.18319402635097504
125,0.18017636239528656
126,0.1877792626619339
127,0.17828090488910675
128,0.17707885801792145
129,0.17983373999595642
130,0.18573956191539764
131,0.17395652830600739
132,0.17287397384643555
133,0.17633453011512756
134,0.1795324981212616
135,0.1708364635705948
136,0.20165564119815826
137,0.17681293189525604
138,0.17670567333698273
139,0.1779046654701233
140,0.18273915350437164
141,0.1749328076839447
142,0.1784248948097229
143,0.18172667920589447
144,0.20495417714118958
145,0.17557530105113983
146,0.1678234189748764
147,0.17315326631069183
148,0.17808204889297485
149,0.177249476313591
150,0.1863000988960266
151,0.20216448605060577
152,0.1729356199502945
153,0.19238053262233734
154,0.18940772116184235
155,0.1794346123933792
156,0.1652403473854065
157,0.16941028833389282
158,0.17427916824817657
159,0.16194921731948853
160,0.16448715329170227
161,0.18270865082740784
162,0.19011923670768738
163,0.1635688692331314
164,0.1915549337863922
165,0.1890685111284256
166,0.1692390739917755
167,0.20500341057777405
168,0.16721166670322418
169,0.18242210149765015
170,0.17825983464717865
171,0.18785063922405243
172,0.178877055644989
173,0.16698415577411652
174,0.1698257476091385
175,0.16761049628257751
176,0.17498110234737396
177,0.16034160554409027
178,0.18454289436340332
179,0.1846877932548523
180,0.17021135985851288
181,0.18660959601402283
182,0.1798308938741684
183,0.17605768144130707
184,0.17075161635875702
185,0.17035694420337677
186,0.1754516363143921
187,0.19704410433769226
188,0.16880188882350922
189,0.17598335444927216
190,0.16718152165412903
191,0.165314182639122
192,0.16930702328681946
193,0.22021999955177307
194,0.18890546262264252
195,0.17646941542625427
196,0.16793687641620636
197,0.19310274720191956
198,0.1695019155740738
199,0.18498724699020386
200,0.2251683622598648
201,0.1895512044429779
202,0.17088033258914948
203,0.1768169403076172
204,0.17290976643562317
205,0.1887543946504593
206,0.16216722130775452
207,0.18579219281673431
208,0.15931436419487
209,0.1801305115222931
210,0.17219454050064087
211,0.17513638734817505
212,0.21383872628211975
213,0.17064183950424194
214,0.22880129516124725
215,0.16548660397529602
216,0.16903983056545258
217,0.1636868417263031
218,0.161401629447937
219,0.1818387806415558
220,0.18654969334602356
221,0.2103046476840973
222,0.17297427356243134
223,0.17654895782470703
224,0.185337096452713
225,0.176350399851799
226,0.17970214784145355
227,0.17132167518138885
228,0.16510671377182007
229,0.1932932287454605
230,0.17316503822803497
231,0.17312078177928925
232,0.17956767976284027
233,0.1744707226753235
234,0.19228896498680115
235,0.17634566128253937
236,0.17493422329425812
237,0.1734997034072876
238,0.16820475459098816
239,0.1669013500213623
240,0.17174459993839264
241,0.18754038214683533
242,0.17201875150203705
243,0.16729137301445007
244,0.179465189576149
245,0.16289681196212769
246,0.17932996153831482
247,0.1830294281244278
248,0.18800832331180573
249,0.1740410178899765
250,0.17155587673187256
251,0.17001625895500183
252,0.18410541117191315
253,0.1712440401315689
254,0.17089048027992249
255,0.17474156618118286
256,0.16689938306808472
257,0.17352136969566345
258,0.19031718373298645
259,0.17324098944664001
260,0.1799585074186325
261,0.1778990626335144
262,0.1630009114742279
263,0.16605517268180847
264,0.1688939929008484
265,0.16797469556331635
266,0.17190758883953094
267,0.16729412972927094
268,0.17782415449619293
269,0.19426321983337402
270,0.18362438678741455
271,0.17610694468021393
272,0.1684141308069229
273,0.1754690259695053
274,0.17883580923080444
275,0.16067811846733093
276,0.17253011465072632
277,0.17180174589157104
278,0.1738997846841812
279,0.19900016486644745
280,0.1803511530160904
281,0.18942144513130188
282,0.1896679699420929
283,0.18987202644348145
284,0.19614313542842865
285,0.1646488755941391
286,0.1756432056427002
287,0.18188568949699402
288,0.19517304003238678
289,0.17181123793125153
290,0.1843360811471939
291,0.17844925820827484
292,0.1638096272945404
293,0.1893978863954544
294,0.2548050284385681
295,0.17364388704299927
296,0.18308766186237335
297,0.17871858179569244
298,0.17727798223495483
299,0.17548048496246338
300,0.21467795968055725
301,0.17146635055541992
302,0.17586366832256317
303,0.1674462854862213
304,0.1689002364873886
305,0.1726628541946411
306,0.1828272044658661
307,0.20685097575187683
308,0.16932463645935059
309,0.17246414721012115
310,0.18799684941768646
311,0.190527081489563
312,0.20158615708351135
313,0.16805925965309143
314,0.1645893156528473
315,0.17478041350841522
316,0.1832149624824524
317,0.17048121988773346
318,0.171921506524086
319,0.16804976761341095
320,0.19462010264396667
321,0.19112202525138855
322,0.17218567430973053
323,0.176620751619339
324,0.1798580437898636
325,0.17750781774520874
326,0.17657330632209778
327,0.22009524703025818
328,0.16075755655765533
329,0.1765671819448471
330,0.17161975800991058
331,0.191044881939888
332,0.16641196608543396
333,0.1712655872106552
334,0.17976409196853638
335,0.1662205010652542
336,0.17356285452842712
337,0.17505209147930145
338,0.18254314363002777
339,0.1781126707792282
340,0.19481290876865387
341,0.1687415987253189
342,0.1711530089378357
343,0.1651565581560135
344,0.18541206419467926
345,0.17146694660186768
346,0.1712917536497116
347,0.16905339062213898
348,0.17258605360984802
349,0.17735737562179565
350,0.17810381948947906
351,0.1708807796239853
352,0.18713748455047607
353,0.17778785526752472
354,0.17809541523456573
355,0.18608808517456055
356,0.16813670098781586
357,0.18807655572891235
358,0.16661541163921356
359,0.17132878303527832
360,0.1768324375152588
361,0.1800459772348404
362,0.1696811020374298
363,0.191893070936203
364,0.17096413671970367
365,0.17720355093479156
366,0.1790342777967453
367,0.18000993132591248
368,0.17275694012641907
369,0.18623261153697968
370,0.16877974569797516
371,0.17067410051822662
372,0.15989091992378235
373,0.1856178641319275
374,0.17146460711956024
375,0.16961278021335602
376,0.1800936758518219
377,0.16990305483341217
378,0.1773771494626999
379,0.17780056595802307
380,0.1898614466190338
381,0.16127625107765198
382,0.1865028440952301
383,0.16878527402877808
384,0.17690026760101318
385,0.17481349408626556
386,0.18804025650024414
387,0.1822451651096344
388,0.17013537883758545
389,0.17722265422344208
390,0.17124217748641968
391,0.1832597553730011
392,0.1614820957183838
393,0.18339522182941437
394,0.18158775568008423
395,0.19080029428005219
396,0.17253635823726654
397,0.17176318168640137
398,0.1664729118347168
399,0.16693463921546936
400,0.19358579814434052
401,0.1672070473432541
402,0.17440667748451233
403,0.18209248781204224
404,0.19113664329051971
405,0.1855642944574356
406,0.17729313671588898
407,0.17392005026340485
408,0.18352633714675903
409,0.18081660568714142
410,0.16959527134895325
411,0.17544755339622498
412,0.16061832010746002
413,0.1754499077796936
414,0.18719741702079773
415,0.17108137905597687
416,0.17017215490341187
417,0.16505753993988037
418,0.1608678251504898
419,0.16564029455184937
420,0.18827301263809204
421,0.17765748500823975
422,0.17613233625888824
423,0.1928592324256897
424,0.16650128364562988
425,0.2005763053894043
426,0.1923058032989502
427,0.17042715847492218
428,0.21299351751804352
429,0.1695139855146408
430,0.17089417576789856
431,0.16861380636692047
432,0.19097627699375153
433,0.18365909159183502
434,0.16903327405452728
435,0.1685505360364914
436,0.185991108417511
437,0.17504018545150757
438,0.18253670632839203
439,0.16174130141735077
440,0.1695421189069748
441,0.1897212713956833
442,0.16924861073493958
443,0.18490290641784668
444,0.1702951341867447
445,0.17319858074188232
446,0.18467551469802856
447,0.17549332976341248
448,0.16928088665008545
449,0.18320535123348236
450,0.17786061763763428
451,0.17113915085792542
452,0.17393213510513306
453,0.1901349127292633
454,0.17847660183906555
455,0.1749519556760788
456,0.16313700377941132
457,0.19143588840961456
458,0.17174765467643738
459,0.1889186054468155
460,0.19030939042568207
461,0.16317345201969147
462,0.19870759546756744
463,0.19740428030490875
464,0.17340265214443207
465,0.17128852009773254
466,0.1710207760334015
467,0.1699036955833435
468,0.1795358806848526
469,0.19995766878128052
470,0.17661775648593903
471,0.17304754257202148
472,0.17349128425121307
473,0.18245643377304077
474,0.19283434748649597
475,0.16728156805038452
476,0.19899213314056396
477,0.16859014332294464
478,0.1786508560180664
479,0.17600280046463013
480,0.1770804226398468
481,0.1755911260843277
482,0.1764509677886963
483,0.1989397406578064
484,0.16947747766971588
485,0.17769111692905426
