,time,measurement,value
0,1642193249.3295004,state_est_mean,"[-2.1978719234466553, 0.49632418155670166, 0.003562066238373518]"
1,1642193249.3295004,state_est_cov,"[[7.616448419867083e-05, 0.00021852986537851393, 0.0], [0.00021852987993042916, 0.0009414705564267933, 0.0], [0.0, 0.0, 0.0009900990407913923]]"
2,1642193249.3295004,control_command,"[0.09710369259119034, -0.11946485191583633]"
3,1642193249.3295004,V,10.270166397094727
4,1642193249.4534087,state_est_mean,"[-2.1928558349609375, 0.49795693159103394, -0.00819810014218092]"
5,1642193249.4534087,state_est_cov,"[[6.728556036250666e-05, 0.00022134571918286383, 1.2239647730893921e-06], [0.0002213457482866943, 0.0009448083001188934, 9.18069690669654e-06], [1.2239646594025544e-06, 9.18069690669654e-06, 0.0010782639728859067]]"
6,1642193249.4534087,control_command,"[0.0973401889204979, -0.1145520806312561]"
7,1642193249.4534087,V,10.231317520141602
8,1642193249.5540457,state_est_mean,"[-2.1841161251068115, 0.49584588408470154, -0.027515484020113945]"
9,1642193249.5540457,state_est_cov,"[[6.583945651073009e-05, 0.000223142807953991, 2.8296744858380407e-06], [0.00022314282250590622, 0.0009482731111347675, 1.889974191726651e-05], [2.8296738037170144e-06, 1.8899740098277107e-05, 0.0011643370380625129]]"
10,1642193249.5540457,control_command,"[0.09774477779865265, -0.10558857023715973]"
11,1642193249.5540457,V,10.153841972351074
12,1642193249.653711,state_est_mean,"[-2.1763761043548584, 0.49652332067489624, -0.03558679670095444]"
13,1642193249.653711,state_est_cov,"[[6.577854946954176e-05, 0.00022438992164097726, 4.844599516218295e-06], [0.00022438992164097726, 0.0009523475309833884, 2.926787783508189e-05], [4.8445986067235935e-06, 2.926787237811368e-05, 0.0012482409365475178]]"
14,1642193249.653711,control_command,"[0.0978727862238884, -0.10258171707391739]"
15,1642193249.653711,V,10.090818405151367
16,1642193249.7500546,state_est_mean,"[-2.1730196475982666, 0.49687662720680237, -0.04766346141695976]"
17,1642193249.7500546,state_est_cov,"[[6.628854316659272e-05, 0.00022594600159209222, 7.123756404325832e-06], [0.00022594600159209222, 0.0009563912753947079, 4.008842006442137e-05], [7.12375549483113e-06, 4.0088412788463756e-05, 0.0013298974372446537]]"
18,1642193249.7500546,control_command,"[0.09809639304876328, -0.09709491580724716]"
19,1642193249.7500546,V,10.06372356414795
20,1642193249.8534396,state_est_mean,"[-2.1633048057556152, 0.4947302043437958, -0.06181696429848671]"
