,time,measurement,value
0,1642193339.6169443,state_est_mean,"[-2.2064666748046875, 0.4856361150741577, 0.003562292782589793]"
1,1642193339.6169443,state_est_cov,"[[8.799893112154678e-05, 0.00012434713426046073, 0.0], [0.00012434704694896936, 0.00020243752805981785, 0.0], [0.0, 0.0, 0.0009900990407913923]]"
2,1642193339.6169443,control_command,"[0.09050479531288147, -0.5909626483917236]"
3,1642193339.6169443,V,10.321208000183105
4,1642193339.7250574,state_est_mean,"[-2.1990134716033936, 0.4894539713859558, -0.05421414598822594]"
5,1642193339.7250574,state_est_cov,"[[5.335534660844132e-05, 7.472874858649448e-05, 1.2255495676072314e-06], [7.472873403457925e-05, 0.000123444915516302, 4.65681159766973e-06], [1.2255528645255254e-06, 4.656815690395888e-06, 0.0010774903930723667]]"
6,1642193339.7250574,control_command,"[0.09155719727277756, -0.4550594687461853]"
7,1642193339.7250574,V,10.265849113464355
8,1642193339.828216,state_est_mean,"[-2.19180965423584, 0.4862159490585327, -0.10678577423095703]"
9,1642193339.828216,state_est_cov,"[[4.0194066968979314e-05, 5.429406519397162e-05, 3.0611515740019968e-06], [5.42940542800352e-05, 9.089817467611283e-05, 8.777146831562277e-06], [3.061156348849181e-06, 8.777152288530488e-06, 0.0011620111763477325]]"
10,1642193339.828216,control_command,"[0.09230722486972809, -0.32367151975631714]"
11,1642193339.828216,V,10.198719024658203
12,1642193339.9280288,state_est_mean,"[-2.183079481124878, 0.4881420135498047, -0.1346924901008606]"
13,1642193339.9280288,state_est_cov,"[[3.353933789185248e-05, 4.375181742943823e-05, 5.438677817437565e-06], [4.375181015348062e-05, 7.433693099301308e-05, 1.300913208979182e-05], [5.4386837291531265e-06, 1.3009138456254732e-05, 0.0012438506819307804]]"
14,1642193339.9280288,control_command,"[0.09257854521274567, -0.25989603996276855]"
15,1642193339.9280288,V,10.129541397094727
16,1642193340.024675,state_est_mean,"[-2.1792681217193604, 0.48781248927116394, -0.16059213876724243]"
17,1642193340.024675,state_est_cov,"[[2.97330625471659e-05, 3.75366180378478e-05, 7.99466397438664e-06], [3.7536614399868995e-05, 6.441598088713363e-05, 1.7226240743184462e-05], [7.99466943135485e-06, 1.7226248019142076e-05, 0.0013229127507656813]]"
18,1642193340.024675,control_command,"[0.09278976172208786, -0.19621142745018005]"
19,1642193340.024675,V,10.097125053405762
20,1642193340.1243844,state_est_mean,"[-2.1703450679779053, 0.48562347888946533, -0.1834760159254074]"
21,1642193340.1243844,state_est_cov,"[[2.731301538005937e-05, 3.3625248761381954e-05, 1.0688037946238182e-05], [3.3625248761381954e-05, 5.8234181778971106e-05, 2.154095272999257e-05], [1.0688042493711691e-05, 2.1540960005950183e-05, 0.0013991132145747542]]"
22,1642193340.1243844,control_command,"[0.0929248258471489, -0.14102326333522797]"
23,1642193340.1243844,V,10.018709182739258
24,1642193340.2243967,state_est_mean,"[-2.163604974746704, 0.4865334630012512, -0.19480237364768982]"
25,1642193340.2243967,state_est_cov,"[[2.58173058682587e-05, 3.1099993066163734e-05, 1.3438680980470963e-05], [3.1099993066163734e-05, 5.427882933872752e-05, 2.5913233912433498e-05], [1.3438687346933875e-05, 2.591324482636992e-05, 0.0014723254134878516]]"
26,1642193340.2243967,control_command,"[0.09296946972608566, -0.11717689037322998]"
27,1642193340.2243967,V,9.964967727661133
28,1642193340.3247752,state_est_mean,"[-2.153324842453003, 0.4824104309082031, -0.2161213457584381]"
29,1642193340.3247752,state_est_cov,"[[2.48527812800603e-05, 2.9414437449304387e-05, 1.614194843568839e-05], [2.9414437449304387e-05, 5.1566254114732146e-05, 3.01800300803734e-05], [1.6141950254677795e-05, 3.018004099430982e-05, 0.0015423116274178028]]"
30,1642193340.3247752,control_command,"[0.09305433183908463, -0.0449119471013546]"
31,1642193340.3247752,V,9.872682571411133
32,1642193340.4244351,state_est_mean,"[-2.14888596534729, 0.48435959219932556, -0.21261419355869293]"
33,1642193340.4244351,state_est_cov,"[[2.4283661332447082e-05, 2.8315200324868783e-05, 1.8865290257963352e-05], [2.8315200324868783e-05, 4.988862565369345e-05, 3.447136623435654e-05], [1.8865292076952755e-05, 3.4471369872335345e-05, 0.0016091238940134645]]"
34,1642193340.4244351,control_command,"[0.0930447205901146, -0.057829927653074265]"
35,1642193340.4244351,V,9.840344429016113
36,1642193340.5284371,state_est_mean,"[-2.136862277984619, 0.48606157302856445, -0.21368242800235748]"
37,1642193340.5284371,state_est_cov,"[[2.389798464719206e-05, 2.7573027182370424e-05, 2.1404106519185007e-05], [2.757302536338102e-05, 4.864910806645639e-05, 3.850207576761022e-05], [2.140410833817441e-05, 3.8502083043567836e-05, 0.0016724064480513334]]"
38,1642193340.5284371,control_command,"[0.09304041415452957, -0.06276093423366547]"
39,1642193340.5284371,V,9.746455192565918
40,1642193340.6244287,state_est_mean,"[-2.1262166500091553, 0.488534539937973, -0.21012213826179504]"
41,1642193340.6244287,state_est_cov,"[[2.3762269847793505e-05, 2.7065316317020915e-05, 2.380359364906326e-05], [2.706531267904211e-05, 4.770988380187191e-05, 4.224626172799617e-05], [2.3803597287042066e-05, 4.224627264193259e-05, 0.0017321219202131033]]"
42,1642193340.6244287,control_command,"[0.0930228978395462, -0.0797307938337326]"
43,1642193340.6244287,V,9.666048049926758
44,1642193340.7243946,state_est_mean,"[-2.114353656768799, 0.49031075835227966, -0.2084265500307083]"
45,1642193340.7243946,state_est_cov,"[[2.373614552197978e-05, 2.6713702027336694e-05, 2.6031553716165945e-05], [2.671370020834729e-05, 4.697328768088482e-05, 4.568599251797423e-05], [2.6031557354144752e-05, 4.5685996155953035e-05, 0.0017882392276078463]]"
46,1642193340.7243946,control_command,"[0.09296455979347229, -0.1200338825583458]"
47,1642193340.7243946,V,9.575502395629883
48,1642193340.8245199,state_est_mean,"[-2.1055734157562256, 0.4829281270503998, -0.22989824414253235]"
49,1642193340.8245199,state_est_cov,"[[2.3798611437086947e-05, 2.647051223902963e-05, 2.8119422495365143e-05], [2.647051223902963e-05, 4.6408877096837386e-05, 4.884919326286763e-05], [2.8119424314354546e-05, 4.8849200538825244e-05, 0.0018408597679808736]]"
50,1642193340.8245199,control_command,"[0.09305944293737411, -0.036215394735336304]"
51,1642193340.8245199,V,9.492048263549805
52,1642193340.9245555,state_est_mean,"[-2.09863543510437, 0.4825003445148468, -0.23476549983024597]"
53,1642193340.9245555,state_est_cov,"[[2.387118001934141e-05, 2.6368865292170085e-05, 3.0273680749814957e-05], [2.6368865292170085e-05, 4.634391007130034e-05, 5.2196523029124364e-05], [3.027368802577257e-05, 5.2196533943060786e-05, 0.0018906736513599753]]"
54,1642193340.9245555,control_command,"[0.09306333214044571, -0.027825413271784782]"
55,1642193340.9245555,V,9.437128067016602
56,1642193341.0243952,state_est_mean,"[-2.0919861793518066, 0.48116880655288696, -0.2262614667415619]"
57,1642193341.0243952,state_est_cov,"[[2.397679418209009e-05, 2.6350542611908168e-05, 3.229668800486252e-05], [2.6350542611908168e-05, 4.630250987247564e-05, 5.526480163098313e-05], [3.229669528082013e-05, 5.526481254491955e-05, 0.001937223831191659]]"
58,1642193341.0243952,control_command,"[0.09304895997047424, -0.052520014345645905]"
59,1642193341.0243952,V,9.383048057556152
60,1642193341.128289,state_est_mean,"[-2.0834407806396484, 0.4778462052345276, -0.2192036658525467]"
61,1642193341.128289,state_est_cov,"[[2.4103543182718568e-05, 2.637461329868529e-05, 3.40857841365505e-05], [2.6374615117674693e-05, 4.6328019379870966e-05, 5.81147032789886e-05], [3.4085791412508115e-05, 5.8114710554946214e-05, 0.001980583881959319]]"
62,1642193341.128289,control_command,"[0.09302999824285507, -0.073331817984581]"
63,1642193341.128289,V,9.310941696166992
64,1642193341.224442,state_est_mean,"[-2.073403835296631, 0.4763655662536621, -0.2224339097738266]"
65,1642193341.224442,state_est_cov,"[[2.427427716611419e-05, 2.6439411158207804e-05, 3.57178105332423e-05], [2.6439411158207804e-05, 4.64644399471581e-05, 6.081536048441194e-05], [3.5717817809199914e-05, 6.0815367760369554e-05, 0.0020209632348269224]]"
66,1642193341.224442,control_command,"[0.09303213655948639, -0.0712905153632164]"
67,1642193341.224442,V,9.231722831726074
68,1642193341.324638,state_est_mean,"[-2.0616915225982666, 0.477601557970047, -0.21958215534687042]"
69,1642193341.324638,state_est_cov,"[[2.449755083944183e-05, 2.6532294214121066e-05, 3.729215677594766e-05], [2.653229603311047e-05, 4.659272599383257e-05, 6.325728463707492e-05], [3.7292164051905274e-05, 6.325729191303253e-05, 0.0020584347657859325]]"
70,1642193341.324638,control_command,"[0.09301156550645828, -0.089006207883358]"
71,1642193341.324638,V,9.146125793457031
72,1642193341.424538,state_est_mean,"[-2.053358316421509, 0.47390592098236084, -0.23479455709457397]"
73,1642193341.424538,state_est_cov,"[[2.4766986825852655e-05, 2.661945291038137e-05, 3.871159424306825e-05], [2.661945291038137e-05, 4.660576450987719e-05, 6.532527186209336e-05], [3.8711597881047055e-05, 6.532527186209336e-05, 0.0020929474849253893]]"
74,1642193341.424538,control_command,"[0.09304730594158173, -0.054653819650411606]"
75,1642193341.424538,V,9.077109336853027
76,1642193341.524565,state_est_mean,"[-2.046396017074585, 0.4710104167461395, -0.24111215770244598]"
77,1642193341.524565,state_est_cov,"[[2.5001038011396304e-05, 2.6731035177363083e-05, 4.017183164251037e-05], [2.6731036996352486e-05, 4.677689139498398e-05, 6.743062840541825e-05], [4.0171835280489177e-05, 6.743062840541825e-05, 0.0021253214217722416]]"
78,1642193341.524565,control_command,"[0.09305566549301147, -0.04282372444868088]"
79,1642193341.524565,V,9.020332336425781
80,1642193341.6283634,state_est_mean,"[-2.03615140914917, 0.47094011306762695, -0.24688798189163208]"
81,1642193341.6283634,state_est_cov,"[[2.5215314963134006e-05, 2.6863250241149217e-05, 4.155551505391486e-05], [2.686325206013862e-05, 4.7005432861624286e-05, 6.946954817976803e-05], [4.155551869189367e-05, 6.946954817976803e-05, 0.002155499765649438]]"
82,1642193341.6283634,control_command,"[0.09305815398693085, -0.03859419748187065]"
83,1642193341.6283634,V,8.945761680603027
84,1642193341.7280505,state_est_mean,"[-2.030510902404785, 0.4667573571205139, -0.24182206392288208]"
